"model","min.rhat","max.rhat","min.ess_bulk","max.ess_bulk","min.ess_tail","max.ess_tail"
"allogrooming given",0.999740210858314,1.00283479886,2084.24411967958,17496.7512903869,1854.04515926159,7345.20336776452
"allofeeding given",0.999892100557423,1.00260967751819,2222.79023278043,15971.7421387197,2325.98563930956,7344.39732291359
"kinship",0.999728044130968,1.00207191833926,2100.27570729493,17387.0294845786,3084.97358961423,7453.59673156465
"allogrooming received",0.999684658320196,1.00463881878152,2155.9040367347,17761.7095302746,1997.26492012113,7319.28817866218
"allofeeding received",0.999782678001251,1.00409576609788,2044.99039202146,16533.7377846578,1949.63889771296,7379.87872482581
